fecha	cols	rows	boosting	objective	metric	data_sample_strategy	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	feature_fraction	feature_fraction_bynode	max_depth	top_rate	other_rate	estimulos	ganancia	iteracion_bayesiana
20231130 152840	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1194	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.157382644552854	56	13223	0.603940020507071	0.738665737131814	25	0.298602179638692	0.578070816707623	11738	161399857.071464	1
20231130 153249	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1137	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.149399207799579	51	15904	0.687800777691155	0.476413939065969	4	0.601442349376157	0.0930117693715147	11710	158696086.956522	2
20231130 153437	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	86	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0698326550045749	81	9426	0.633847183491525	0.241009166548756	24	0.221597166135325	0.408826055274403	13421	152878387.306347	3
20231130 154140	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	468	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.200699348249473	89	5954	0.520179001892029	0.357875716469134	28	0.366662155065569	0.208133466527215	11702	161537394.302849	4
20231130 154737	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1127	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.162303481322306	55	15504	0.663111968819794	0.944108728361898	22	0.746032695504255	0.133218500639487	10287	158726812.093953	5
20231130 155944	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1180	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.169050855855166	84	18661	0.465377380426435	0.343612907523711	12	0.097191039712925	0.871643998412765	12051	160886478.26087	6
20231130 160458	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1728	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.247606847970164	47	11245	0.751040599474072	0.271515346923334	31	0.478379734398914	0.0493264973774785	10549	156787024.987506	7
20231130 161024	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	139	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0307869611095521	39	2626	0.489679806420099	0.156208592906551	40	0.263742811512202	0.610023640707368	13124	157608641.67916	8
20231130 161429	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	109	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.276420187779004	36	1705	0.583794667064285	0.166844205570014	14	0.213674214472121	0.466427768405993	11969	159554911.044478	9
20231130 164714	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	3535	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0424744254819234	19	17069	0.552961660714209	0.572812445948875	46	0.695911236281972	0.297214643600455	12610	162343013.493253	10
20231130 165135	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	236	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0584055764778168	45	8518	0.535518452508768	0.0931083956651128	6	0.0842030983185396	0.352739535686851	12697	154203398.8006	11
20231130 165313	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	55	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.272384837583231	77	11856	0.719994136420064	0.393928720083568	2	0.157649214161211	0.168892842266359	11512	146522306.846577	12
20231130 171306	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	2260	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0816756050213007	75	12485	0.497130536925033	0.851263400557582	36	0.139325177697174	0.562391382060014	11878	160125444.277861	13
20231130 173434	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	2284	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.126975529737829	72	17929	0.573002591768454	0.111427126408598	27	0.8987456355826	0.0113069137732964	12797	159206107.446277	14
20231130 173548	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.290290821013041	19	3929	0.620633189569344	0.675649893092268	50	0.0527963837812422	0.118046055184095	12044	148519346.326837	15
20231130 173817	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	200	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0277741229848471	15	19003	0.736358303389716	0.977582880010377	12	0.382622089142387	0.400490671359876	15997	150135702.648676	16
